epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,7500.16,0.54434,0.31344,0.90346,0.89104,0.83612,0.83423,0.68647,0.54984,0.25543,0.89477,0.000445567,0.000445567,0.000445567
123,7563.93,0.54492,0.3221,0.90254,0.97655,0.83612,0.83869,0.69113,0.55884,0.25538,0.89891,0.000440067,0.000440067,0.000440067
124,7623.73,0.54721,0.32017,0.90575,0.92913,0.83448,0.83759,0.68738,0.56685,0.27404,0.89755,0.000434568,0.000434568,0.000434568
125,7683.47,0.54646,0.31505,0.90085,0.95601,0.8333,0.83661,0.67962,0.5805,0.2625,0.90333,0.000429068,0.000429068,0.000429068
126,7743.77,0.53394,0.31078,0.90029,0.94261,0.84138,0.83608,0.6963,0.54885,0.25444,0.88936,0.000423569,0.000423569,0.000423569
127,7802.68,0.53012,0.30336,0.89015,0.97244,0.82232,0.83277,0.68887,0.56433,0.26751,0.89601,0.000418069,0.000418069,0.000418069
128,7864.56,0.53963,0.30285,0.89793,0.92292,0.81867,0.83315,0.68958,0.57535,0.27243,0.89965,0.00041257,0.00041257,0.00041257
129,7923.52,0.54863,0.31926,0.89765,0.9128,0.83798,0.83505,0.67739,0.59369,0.28093,0.90262,0.00040707,0.00040707,0.00040707
130,7982.4,0.53438,0.29895,0.90193,0.93319,0.84138,0.8372,0.69067,0.56964,0.26475,0.89857,0.000401571,0.000401571,0.000401571
131,8045.09,0.53508,0.29797,0.89589,0.9441,0.84138,0.83823,0.68627,0.5878,0.26572,0.90537,0.000396071,0.000396071,0.000396071
132,8103.64,0.53388,0.30677,0.89324,0.93562,0.84138,0.83488,0.6836,0.54491,0.24931,0.89013,0.000390572,0.000390572,0.000390572
133,8163.53,0.51381,0.29017,0.88915,0.94966,0.83595,0.84135,0.6854,0.56159,0.25973,0.89599,0.000385073,0.000385073,0.000385073
134,8225.53,0.52548,0.28477,0.89879,0.96745,0.83612,0.83834,0.68354,0.55667,0.25226,0.89188,0.000379573,0.000379573,0.000379573
135,8289.17,0.53368,0.30039,0.90032,0.9674,0.84062,0.8418,0.67778,0.57226,0.26165,0.89932,0.000374074,0.000374074,0.000374074
136,8352.53,0.50991,0.29345,0.88615,0.98213,0.84138,0.839,0.68731,0.56449,0.257,0.89757,0.000368574,0.000368574,0.000368574
137,8415.96,0.52072,0.29405,0.89052,0.95345,0.84138,0.83625,0.68537,0.55735,0.25085,0.89723,0.000363075,0.000363075,0.000363075
138,8479.64,0.51392,0.29356,0.89518,0.93569,0.82694,0.83465,0.69125,0.54522,0.27593,0.89008,0.000357575,0.000357575,0.000357575
139,8542.87,0.50556,0.2903,0.89053,0.91852,0.84138,0.83637,0.69268,0.55028,0.25721,0.89672,0.000352076,0.000352076,0.000352076
