STT,Sản phẩm,Kết quả,Thời gian
3,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên) - Vỉ chuẩn: 10 viên | Phát hiện: 1 viên,   • Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên)",2026-04-29 19:30:52
4,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên) - Vỉ chuẩn: 10 viên | Phát hiện: 1 viên,   • Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên)",2026-04-29 19:33:49
5,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 1 viên (chỉ thấy 9/10 viên) | Thiếu viên trong ô: 8 ô - Vỉ chuẩn: 10 viên | Phát hiện: 9 viên,   • Vỉ bị cắt: thiếu 1 viên (chỉ thấy 9/10 viên),   • Thiếu viên trong ô: 8 ô",2026-04-29 19:35:07
1,Viên rời,"[OK] SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",2026-04-29 19:40:35
2,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 2 viên (chỉ thấy 8/10 viên) | Thiếu viên trong ô: 7 ô - Vỉ chuẩn: 10 viên | Phát hiện: 8 viên,   • Vỉ bị cắt: thiếu 2 viên (chỉ thấy 8/10 viên),   • Thiếu viên trong ô: 7 ô",2026-04-29 19:40:56
3,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 2 viên (chỉ thấy 8/10 viên) | Thiếu viên trong ô: 7 ô - Vỉ chuẩn: 10 viên | Phát hiện: 8 viên,   • Vỉ bị cắt: thiếu 2 viên (chỉ thấy 8/10 viên),   • Thiếu viên trong ô: 7 ô",2026-04-29 19:45:42
4,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 2 viên (chỉ thấy 8/10 viên) | Thiếu viên trong ô: 7 ô - Vỉ chuẩn: 10 viên | Phát hiện: 8 viên,   • Vỉ bị cắt: thiếu 2 viên (chỉ thấy 8/10 viên),   • Thiếu viên trong ô: 7 ô",2026-04-29 19:46:15
5,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 1 viên (chỉ thấy 9/10 viên) | Thiếu viên trong ô: 8 ô - Vỉ chuẩn: 10 viên | Phát hiện: 9 viên,   • Vỉ bị cắt: thiếu 1 viên (chỉ thấy 9/10 viên),   • Thiếu viên trong ô: 8 ô",2026-04-29 19:46:37
6,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 2 viên (chỉ thấy 8/10 viên) | Thiếu viên trong ô: 7 ô - Vỉ chuẩn: 10 viên | Phát hiện: 8 viên,   • Vỉ bị cắt: thiếu 2 viên (chỉ thấy 8/10 viên),   • Thiếu viên trong ô: 7 ô",2026-04-29 19:47:08
7,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 2 viên (chỉ thấy 8/10 viên) | Thiếu viên trong ô: 7 ô - Vỉ chuẩn: 10 viên | Phát hiện: 8 viên,   • Vỉ bị cắt: thiếu 2 viên (chỉ thấy 8/10 viên),   • Thiếu viên trong ô: 7 ô",2026-04-29 19:47:27
